name,phone
Asia Green Travel Sdn. Bhd.,+60 (089) 218372
Asia Incoming Travel & Tours Sdn. Bhd.,+06 (03) 74986823
Asia Mutiara Travel & Ticketing Services Sdn Bhd,-
Asia Pacific Adventures Sdn. Bhd.,+60 (3) 27045723
Asia Premium Holidays Sdn. Bhd.,+60 (03) 62061577
Asia Region Holidays Sdn Bhd,+60 (03) 22766883
Asia Top Team Travels Sdn Bhd,+60 (088) 383090
Asia Travel Adventures Sdn. Bhd.,+60 (04) 2264140
Asian Famous Tours & Travel Sdn. Bhd.,+60 (03) 42581017
Asian Safari Sdn Bhd,+60 (03) 42960643
Asian Season Travel Sdn Bhd,+60 (03) 40412240
Asian Trails (M) Sdn. Bhd.,+60 (03) 21415245
Asianworld Holidays Sdn Bhd,+60 (03) 22847355
Asiarena Tours & Travel Sdn Bhd,+60 (04) 2508661
Asiatic Travel & Tours Sdn Bhd,+60 (088) 486990
Asiban International Travel & Tours Sdn. Bhd.,+06 (767) 8000
Astana Hamra Travel & Tours Sdn Bhd,(013) 9805239
Asthar Travel & Tours Sdn. Bhd.,+60 (012) 4334300
Asutra Holidays Sdn Bhd,+60 (12) 2098581
Aswad Travel & Tours Sdn.Bhd.,+60 (06) 2888487
ATA World Travel Sdn Bhd,+6 (012) 3266930
Atakana Travel & Tours Sdn Bhd,+60 (03) 92826080
Atlantic & Pacific Travel Service Sdn. Bhd.,+60 (07) 2212828
Atlas Travel Services Sdn.Bhd.,+60 (06) 2820777
ATN Tourism & Travel Corporation (M) Sdn Bhd,+60 (03) 87069392
ATPI Travel (Malaysia) Sdn. Bhd.,+06 (3) 48106820
ATS Global Travel And Charter Sdn Bhd,+60 (03) 64199886
Attiq Travel & Tours Sdn Bhd,+6 (07) 3310500
ATV Borneo Adventure Sdn Bhd,+60 (016) 5567987
AUF Travel & Tours Sdn Bhd,+06 (06) 2812040
Aufa Travel & Tours Sdn. Bhd.,+60 (03) 89204015
Aulia Travel & Tours Sdn Bhd,+60 (019) 5751990
Auntie Travel & Tours Sdn Bhd,+60 (04) 9660843
Aurasy Travel & Tours Sdn Bhd,+6 (03) 55234777
Authentic Borneo Tours Sdn. Bhd.,+60 (082) 645695
AV Travel & Tours Sdn Bhd,+60 (03) 87349125
Avanus Holiday Sdn Bhd,+60 (17) 6775215
Avasi Borneo Tours & Travel (S) Sdn. Bhd.,+60 (088) 713733
Aviareps Travel Sdn Bhd,+60 (03) 21488033
Avion Holidays Sdn. Bhd.,+60 (04) 2293820
Awana Idaman Limo & Tours Sdn. Bhd.,+60 (03) 61787267
Awana Wangsa Holiday Sdn Bhd,+6 (09) 7544545
Awesome Borneo Holidays Sdn Bhd,-
Awwam Travel & Tours Sdn Bhd,+60 (06) 6013126
Atlantic & Pacific Travel Service Sdn. Bhd.,+60 (07) 2212828
AXYS Travel Sdn Bhd,+006 (011) 26408755
Ayyash Faruq Travel & Tours Sdn Bhd,+60 (04) 4461052
Az Easy Travel & Tours Sdn Bhd,+60 (09) 5054841
Az Safir Travel And Tours Sdn Bhd,+60 (082) 511001
Azlan Travel & Tours Sdn Bhd,+60 (012) 5892188
AZM Travel & Tours Sdn Bhd,+60 (011) 12877697
Azmas Maju Leisure Sdn Bhd,+60 (017) 6367610
Aztie Travel & Tours Sdn. Bhd.,(03) 55245558
Azuki Tours Sdn. Bhd,+06 (016) 6016116
Azza Travel & Tours Sdn Bhd,+60 (03) 61779265
Az-zuha Group Travel & Tours Sdn Bhd,+6 (03) 89123367
B & E Travel Services Sdn. Bhd.,+06 (03) 79609564
B & J Diving Centre Sdn Bhd,+60 (09) 4195555
B & T Holiday Tours Sdn. Bhd.,+60 (07) 3333722
B.T.T Sightseeing (MM2H) Sdn Bhd,+60 (03) 21488820
B.T.T. Travel Services Sdn. Bhd.,+60 (03) 21488820
Baby Travel and Events Sdn Bhd,+60 (03) 77335223
Back Travel & Tours Sdn. Bhd.,+6 (088) 255010
Bagan Utama Holidays (M) Sdn. Bhd.,+60 (03) 90549445
Bagpacman Travel & Tours Sdn Bhd,+60 (12) 7870898
Bahrman Sipadan Dive Safari Seasport Sdn Bhd,+6 (089) 781866
Balik Kampung Express & Holidays Sdn Bhd,+60 (07) 2881190
Balimbang Tourism Sdn. Bhd.,+60 (19869) 3963
Bamboo Adventures Sdn. Bhd.,+60 (03) 78776740
Banana Travel & Tours Sdn Bhd,+60 (04) 2626171
Banaraz Holidays Sdn. Bhd.,+60 (03) 20221995
Bangsawan Adventure Sdn Bhd,+012 (30493) 13
Banyan Travel & Tours Sdn Bhd,+604 (02) 049666191
Bao Dao Leisure Sdn Bhd,+006 (12) 6041121
Bary Tours Sdn Bhd,+06 (03) 8706427
Basmas Global Tours Sdn Bhd,+6 (03) 31411868
Batuta Travel & Tours Sdn. Bhd.,+06 (09) 7442652
Bayam Travel Sdn. Bhd.,+6 (09) 7418626
Bayuemas Travel & Tour Sdn Bhd,+60 (019) 2553635
BBB Fun Diver Sdn. Bhd.,+60 (089) 782330
BCR Langkawi Holidays Sdn Bhd,+60 (013) 3508430
Beautiful Planet Holiday Tour & Travel Sdn Bhd,+6 (04) 2268121
Beautiful Sun Borneo Tours & Travel Sdn Bhd,+6 (088) 310988
Beautiful World Tours & Travel Sdn. Bhd.,+60 (03) 27427889
Beeducation Adventures Sdn Bhd,+60 (03) 80115668
Beeflyz Holiday Sdn Bhd,+60 (3) 91339690
Bel Travel & Tours Sdn Bhd,+60 (06) 2882907
Bel-Air Travel & Tours Sdn. Bhd.,+60 (082) 414419
Berdikari Travel & Tours Sdn Bhd,+60 (089) 774278
Beringgis Marina & Tours Sdn. Bhd.,+6 (088) 240633
Best Borneo Tours Sdn. Bhd.,+60 (088) 262780
Best Delight Travel & Tours Sdn. Bhd.,+60 (088) 718566
Best Driver Transport & Travel Sdn Bhd,+60 (07) 3823111
Best Holidays Tour Sdn. Bhd.,+60 (04) 9799799
Best Top Travelgo Sdn Bhd,+60 (06) 7947375
Bestari Travel Sdn Bhd,-
Bestay Travel & Tours Sdn. Bhd.,+6 (09) 6226418
Bestour & Travel (M) Sdn. Bhd.,+06 (03) 21421741
Bestour EU-US Sdn Bhd,+06 (03) 21441919
Bestway Tours & Travel Sdn Bhd,+60 (013) 4462377
Betterbooking Travel and Tour Sdn Bhd,+006 (17) 4200068
BEX Travel Malaysia Sdn Bhd,+60 (03) 56247011
BGB Country Tours & Travel Sdn Bhd,+60 (089) 781805
BH Travel Sdn Bhd,+60 (06) 9534848
BHS Travel & Tour Sdn Bhd,-
Big Asia World Travel & Tour Sdn Bhd,+60 (03) 90827606
Big Planet Travel Sdn Bhd,+60 (04) 2299771
Bigfin Divers Borneo Sdn Bhd,+60 (012) 3930424
Bike And Tours Sdn. Bhd.,+60 (17) 2936376
Billion Stars Tours & Travel Sdn Bhd,+60 (011) 10511111
BinKhaled Travel and Tour Asia Sdn Bhd,+60 (07) 8824123
Bintang Biru Travel & Tours Sdn. Bhd.,+60 (04) 2271618
Bintong Express & Holidays Sdn Bhd,+6 (03) 41443454
Bintulu Deluxe Travel Service Sdn. Bhd.,+06 (086) 335311
Bintulu Oversea Travel Service (1987) Sdn. Bhd.,+06 (086) 332107
Bismi Maju Travels Sdn Bhd,+60 (09) 5315484
BJ Scuba & Sea Sport Sdn. Bhd.,+60 (089) 785399
BLC Travel and Tourism Sdn Bhd,+60 (19) 3920096
Blessed Holidays Sdn Bhd,+06 (082) 451289
Blue Kinabalu Travel Agency Sdn Bhd,+60 (088) 276053
Blue Pacific Tours & Travel Sdn Bhd,+60 (03) 92009191
Blue Sky Limo Services Sdn Bhd,+604 (04) 9666772
Blue Sky Vacation Sdn Bhd,+60 (088) 242642
Blue Star Travel & Tours Sdn Bhd,+60 (09) 7434266
BM Fly Tour And Travel Sdn Bhd,+60 (04) 5300948
BMC Travel Sdn. Bhd.,+60 (03) 21611448
BML Travel & Tours Sdn Bhd,+60 (03) 21100059
Boman Travel & Tours Sdn. Bhd.,+60 (03) 55181988
Bonus Leisure Sdn Bhd,+60 (03) 20781000
Bonusreka Tour Services Sdn Bhd,+60 (016) 4117878
Bornean Vanda Travel Sdn. Bhd.,+6 (088) 269355
Borneo Adventure Sdn. Bhd.,+60 (082) 245175
Borneo Amazing Journeys Sdn Bhd,+6 (088) 258440
Borneo Attractions Holiday Sdn. Bhd,+60 (088) 277995
Borneo Authentic Adventure Sdn. Bhd.,+60 (088) 773066
Borneo Birding Tours Sdn Bhd,+006 (082) 626869
Borneo Calling Tour & Travel Sdn Bhd,+60 (017) 2285677
Borneo Car Rental Sdn Bhd,+60 (088) 316632
Borneo Climb & Dive Sdn Bhd,+60 (13) 6950309
Borneo Cross Country Tours Sdn Bhd,+60 (16) 7322662
Borneo Discovery Tours & Travel Sdn Bhd,+06 (016) 8303088
Borneo Dream Travel & Tours Sdn Bhd,+60 (17) 8118149
Borneo Dynamic Holidays & Tours Sdn.Bhd.,+6 (088) 260918
Borneo Easy Travel Sdn Bhd,+60 (16262) 6403
Borneo Eco Tours Sdn. Bhd.,+60 (088) 438300
Borneo Encounter Tours & Transportation Sdn. Bhd.,+6 (088) 274495
Borneo Exotika Adventure Sdn Bhd,+60 (088) 238185
Borneo Exploration Tours & Travel Sdn. Bhd.,+60 (082) 466366
Borneo Express Rent A Car & Tours Sdn Bhd.,+06 (088) 729601
Borneo Extravaganza Tours & Travel Sdn Bhd,+6 (019) 8123810
Borneo Ferry Tours & Travel Sdn Bhd,+6 (088) 238448
Borneo Fullforce Tours & Travel Sdn Bhd,+60 (088) 386380
Borneo Green Adventure Sdn Bhd,+60 (88) 313188
Borneo Holiday & Vehicles Rental Sdn. Bhd.,+06 (088) 216634
Borneo Holiday Planner Sdn Bhd,+60 (16) 8319190
Borneo Inter World Tour Sdn Bhd,+60 (088) 310115
Borneo Kenyalang Experience Tour Sdn Bhd,+60 (085) 217318
Borneo Land Adventures Sdn. Bhd.,+6 (088) 438888
Borneo Legend Travel Sdn Bhd,+6 (016) 8803693
Borneo Leisure Tour & Travels Sdn Bhd,+60 (016) 8302202
Borneo Nature Explorer Tours & Travel Sdn Bhd,+06 (088) 272623
Borneo Nature Tours Sdn. Bhd.,+6 (088) 258639
Borneo Onsoi Holidays Sdn Bhd,+088 (276) 996
Borneo Outback Tours Sdn Bhd,+60 (087) 337277
Borneo Refugia Adventure Sdn Bhd,+06 (088) 326317
Borneo Sandakan Tours Sdn. Bhd.,+60 (089) 465754
Borneo Sea Wonder Tours & Travel Sdn. Bhd,+60 (13) 138881228
Borneo Speedy Dive & Tour Sdn. Bhd.,+06 (089) 781399
Borneo Starcruise Sdn Bhd,+6 (088) 212009
Borneo Summer Paradise Travel & Tour Sdn. Bhd.,+06 (088) 267162
Borneo Tawakal Travel Sdn Bhd,+60 (088) 755899
Borneo Tours Sdn. Bhd.,+60 (082) 246422
Borneo Tracker & Tours Sdn Bhd,+6 (014) 5610078
Borneo Trails Tour & Travel Sdn. Bhd.,+6 (088) 235900
Borneo Transverse Tours & Travel Sdn. Bhd.,+60 (082) 257784
Borneo Trek & Kayak Adventure Sdn Bhd,+60 (013) 8881251
Borneo Tribes Tours & Travel Sdn. Bhd.,+60 (088) 8224088
Borneo Tropical Holidays Sdn. Bhd.,+06 (088) 252351
Borneo Unlimited Marine Sports Sdn Bhd.,+60 (089) 784623
Borneo Wakid Adventures Sdn Bhd,+60 (088) 241825
Borneo Wild & Nature Tours Sdn. Bhd.,+60 (088) 258299
Borneo Wildlife Adventure Sdn. Bhd.,+60 (16) 8370183
Borneo Wonders Holiday Sdn Bhd,+6 (088) 237369
Borneobagus Travel & Tours Sdn Bhd,+60 (12) 7777133
Bossway Travel Sdn Bhd,+60 (07) 2244188
BOT Holidays Sdn. Bhd.,+60 (03) 20274626
Boustead Travel Services Sdn. Bhd.,+60 (03) 92129788
Brighton Travel & Tour Sdn. Bhd.,+06 (085) 423113
BT Link Tour & Transport Sdn Bhd,+60 (04) 2629707
Bukit Tinggi Tours Sdn. Bhd.,+06 (03) 21491215
BZ Ziarah Travel & Tour Sdn Bhd,-
C.S. Holidays Sdn. Bhd.,+06 (03) 26970800
Cafic Travel Services Sdn. Bhd.,+60 (12) 8132369
Cahaya Bumi Travel & Tours Sdn Bhd,+60 (16) 4852808
Cahaya Kalbu Travel & Tours Sdn Bhd,+60 (09) 7431801
Cahaya Nilam Travel Sdn Bhd,+0 (86) 342277
Cameron Holiday Tours & Adventures Sdn Bhd,+60 (05) 4914619
Cameron Secrets Travel And Tours Sdn. Bhd.,+06 (05) 4912888
Camland Vacation Travel & Tour Sdn. Bhd.,+60 (05) 4912136
Cammy Travel & Tours Sdn. Bhd.,+6 (06) 2817799
Camp Borneo Travel & Tours Sdn Bhd,+6 (088) 487150
Canggih Travel & Tours Sdn Bhd,+60 (03) 32648979
Capac Travel Service Sdn Bhd,+60 (089) 217288
Capaz Travel & Tours Sdn Bhd,+60 (017) 3956204
Capital One Leisure Sdn Bhd,+60 (12) 4051566
Capri Travel & Tours Sdn Bhd,+60 (017) 815932
Capricorn Travel Services Sdn. Bhd.,+60 (012) 3088676
Caravanserai Holidays Sdn Bhd,+60 (03) 61500531
Cat City Holidays Sdn Bhd,+60 (082) 412500
CAT Travel Sdn. Bhd.,+60 (03) 90585996
Causeway Link Holidays Sdn. Bhd.,+60 (07) 3602244
Cavery Travel & Tours Sdn. Bhd.,+60 (03) 33263185
Celebes Beach Resort & Tours Sdn Bhd,+60 (89) 758228
Cempaka Travels & Tours Sdn. Bhd.,+6 (082) 234799
Central Vacation Tours Sdn. Bhd.,+60 (03) 22737300
Century Holidays (MM2H) Sdn Bhd,+6 (012) 2426799
Century Travel Mart Sdn Bhd,+6 (03) 27109323
Century Travel Mart Service Sdn Bhd,+6 (016) 5859511
Cepat Sedia Tours & Express Transport Sdn Bhd,+6 (06) 9517073
Chan Brothers (PK) Travel Agency Sdn Bhd,+60 (04) 2295458
Atlantic & Pacific Travel Service Sdn. Bhd.,+60 (07) 2212828
Chan Chee Kheong & Brothers Travel Sdn. Bhd.,+60 (05) 2541244
Chang Hong Travel & Tour Sdn. Bhd.,+06 (03) 79880662
Chang Qin Travel & Tours Sdn. Bhd.,+06 (05) 6915263
Chan's World Leisurelink Travel Sdn Bhd,+60 (03) 92075288
Chauffeur Safe Travel Sdn Bhd,+6 (03) 22871608
Cheerful Adventure Tours Sdn Bhd,+60 (14) 3700087
Cheery Pop Travel Sdn. Bhd.,+60 (03) 42977546
Cheetah Transportation Sdn Bhd,-
Chemomoi Travel & Tour Sdn Bhd,+60 (09) 2458506
Chemor Valley Tours & Travel Sdn. Bhd.,+06 (05) 2014392
Cheng Yue Holidays Sdn Bhd,+60 (012) 6255001
Chengal Travel & Tours Sdn Bhd,+06 (09) 8649612
Chew Travel & Tour Sdn Bhd,+60 (06) 6321188
Chia May Tours & Travel Sdn. Bhd.,+60 (07) 4671678
Chia Sin Travel Service Sdn. Bhd.,+60 (07) 7725115
Chico Travel & Tours Sdn. Bhd.,+06 (03) 56212222
China Express Tours & Travel Sdn. Bhd.,+06 (03) 21455177
China Paradise Sdn Bhd,+60 (03) 21451011
Chiu Travel Sdn. Bhd.,+60 (07) 4335588
Chok Meng Bus & Tour Services Sdn. Bhd.,+60 (06) 9772260
Chong Fui Travel Sdn Bhd,+60 (088) 235669
CHY Vegetarian Holiday Sdn Bhd,+6 (012) 2882686
CIG Travel & Tours Sdn Bhd,+60 (04) 2277289
Citiworld Holidays Sdn. Bhd.,+60 (03) 62598333
Citra Travel & Tours Sdn Bhd,+60 (09) 7449179
CITS Asia Travel & Tours Sdn. Bhd.,+60 (03) 41421118
CITS Holidays (M) Sdn. Bhd.,+60 (012) 2388173
City Coach Tours Sdn. Bhd.,+06 (03) 42966100
City Connections Travel Sdn. Bhd.,+06 (03) 27113060
City Holidays Express Tours & Transport Sdn Bhd,+6 (06) 9517073
Citytan Holidays & Limousine Sdn Bhd,+60 (03) 80605558
Citywide Travel Sdn Bhd,+60 (88) 276976
CJ Global Travel And Tours Sdn Bhd,(06) 8503394
CK Holiday & Tours Sdn Bhd,+6 (06) 2889848
CK Vacation Sdn. Bhd.,+06 (07) 2526300
CKS Travel & Tours Sdn Bhd,+60 (07) 6638321
Class Coach Travel & Tours Sdn Bhd,+06 (07) 5545899
C-Lavi Travel Sdn. Bhd.,+60 (03) 31911048
Client Travel (M) Sdn. Bhd.,+6 (03) 21611288
Cloud Ten Executive Travel & Tours Sdn Bhd,+06 (03) 62063232
Ace Altair Travels Sdn. Bhd.,+6 (012) 3738855
Coachliner 707 Travel & Tours Sdn Bhd,+60 (06) 2868707
Coast To Coast Holiday Sdn. Bhd.,+60 (09) 6229133
Cocobeach Tour & Travel Sdn. Bhd.,+60 (03) 62062419
Cocohut Travel & Tours Sdn. Bhd.,+60 (09) 6974982
Columbia Leisure Sdn. Bhd.,+60 (03) 92055628
Cometra Travel Services Sdn. Bhd.,+06 (088) 225368
Comfort Tours (Kedah) Sdn. Bhd.,+60 (04) 7317363
